file_id,display,genres
Chubby_Checker,Chubby Checker,rock and roll
Chuck_Berry,Chuck Berry,"rock and roll, rhythm and blues"
Cinderella_(band),Cinderella (band),"glam metal, hard rock, blues rock"
Coheed_and_Cambria,Coheed and Cambria,"progressive rock, alternative rock, post-hardcore, emo, progressive metal"
Cold_Chisel,Cold Chisel,"pub rock, r&b, hard rock, rock and roll"
Coldplay,Coldplay,"alternative rock, pop rock, post-britpop, pop"
Collective_Soul,Collective Soul,"alternative rock, hard rock, post-grunge"
Counting_Crows,Counting Crows,"alternative rock, roots rock, pop rock"
Crash_Test_Dummies,Crash Test Dummies,"alternative rock, folk rock"
Cream_(band),Cream (band),"psychedelic rock, blues rock, acid rock, hard rock"
Creed_(band),Creed (band),"post-grunge, hard rock, alternative rock, alternative metal"
Creedence_Clearwater_Revival,Creedence Clearwater Revival,"swamp rock, roots rock, blues rock, country rock, southern rock"
Crosby__Stills__Nash_&_Young,"Crosby, Stills, Nash & Young","folk rock, soft rock, country rock, folk pop"
Crowded_House,Crowded House,"pop rock, jangle pop, alternative rock"
Dallas_Green_(musician),City and Colour,"indie folk, acoustic, alternative rock, post-hardcore, screamo, melodic hardcore"
Damn_Yankees_(band),Damn Yankees (band),"hard rock, arena rock"
Dan_Fogelberg,Dan Fogelberg,"rock, country, folk, folk rock, soft rock, pop rock, pop"
Dashboard_Confessional,Dashboard Confessional,"emo, alternative rock, indie rock, acoustic rock"
Daughtry_(band),Daughtry (band),"post-grunge, hard rock, pop rock"
Dave_Matthews_Band,Dave Matthews Band,"rock, jam rock"
David_Bowie,David Bowie,"art rock, glam rock, pop, electronic"
Days_of_the_New,Days of the New,"post-grunge, alternative rock"
Death_Cab_for_Cutie,Death Cab for Cutie,"indie rock, alternative rock, indie pop, emo"
Deep_Purple,Deep Purple,"hard rock, heavy metal, progressive rock"
Def_Leppard,Def Leppard,"hard rock, glam metal, arena rock, power pop, heavy metal"
Deftones,Deftones,"alternative metal, art rock, shoegaze, nu metal"
Depeche_Mode,Depeche Mode,"synth-pop, electronic rock, new wave, alternative rock"
Dio_(band),Dio (band),heavy metal
Dire_Straits,Dire Straits,"roots rock, blues rock, pub rock"
Disturbed_(band),Disturbed (band),"heavy metal, alternative metal, hard rock, nu metal"
Don_Henley,Don Henley,"rock, country rock, pop rock, hard rock, folk rock"
Donovan,Donovan,"folk, pop, psychedelia, rock"
