file_id,display,genres
Slipknot_(band),Slipknot (band),"nu metal, alternative metal, groove metal"
Sly_and_the_Family_Stone,Sly and the Family Stone,"psychedelic soul, rock"
Small_Faces,Small Faces,"rock, r&b, beat, pop, psychedelia, proto-punk, progressive pop"
Smash_Mouth,Smash Mouth,"alternative rock, power pop, pop rock, ska punk"
Smokie_(band),Smokie (band),"pop rock, soft rock, glam rock"
Snow_Patrol,Snow Patrol,"alternative rock, power pop, post-britpop, indie rock"
Social_Distortion,Social Distortion,"punk rock, cowpunk, rock and roll, hardcore punk"
Sonic_Youth,Sonic Youth,"noise rock, alternative rock, experimental rock, indie rock, post-punk, no wave (early) 2025"
Soundgarden,Soundgarden,"grunge, heavy metal, alternative metal, alternative rock"
Staind,Staind,"alternative metal, post-grunge, nu metal, hard rock"
Starset,Starset,"alternative rock, electronic rock, hard rock, alternative metal, progressive rock"
Starship_(band),Starship (band),"rock, arena rock, pop rock"
Status_Quo_(band),Status Quo (band),"rock, boogie rock, hard rock, psychedelia"
Steely_Dan,Steely Dan,"jazz rock, yacht rock, soft rock, pop, jazz fusion"
Steppenwolf_(band),Steppenwolf (band),"psychedelic rock, acid rock, heavy metal, garage rock, blues rock, hard rock"
Steve_Miller_Band,Steve Miller Band,"blues rock, pop rock"
Steve_Vai,Steve Vai,"instrumental rock, hard rock, heavy metal, progressive metal"
Steve_Winwood,Steve Winwood,"blue-eyed soul, r&b, rock, pop"
Stevie_Nicks,Stevie Nicks,"rock, pop, folk"
Stevie_Ray_Vaughan,Stevie Ray Vaughan,"texas blues, blues rock, electric blues, rock and roll"
Sting_(musician),Sting (musician),"pop, new wave, post-punk, soft rock"
Stone_Sour,Stone Sour,"alternative metal, hard rock, post-grunge, alternative rock"
Stone_Temple_Pilots,Stone Temple Pilots,"alternative rock, grunge, hard rock, alternative metal, psychedelic rock"
Styx_(band),Styx (band),"progressive rock, art rock, arena rock, pop rock"
Sublime_(band),Sublime (band),"ska punk, reggae rock"
Sublime_with_Rome,Sublime with Rome,"reggae rock, alternative rock, hip hop, dub, ska punk, punk rock"
Sum_41,Sum 41,"pop-punk, skate punk, punk rock, alternative metal, melodic hardcore, alternative rock"
Supertramp,Supertramp,"progressive pop, progressive rock, soft rock, pop"
Survivor_(band),Survivor (band),"rock, arena rock, hard rock"
System_of_a_Down,System of a Down,"alternative metal, nu metal, hard rock, progressive metal"
T._Rex_(band),T. Rex (band),"glam rock, pop, psychedelic folk"
Talking_Heads,Talking Heads,"new wave, post-punk, avant-funk, art pop, worldbeat"
Ted_Nugent,Ted Nugent,hard rock
Ten_Years_After,Ten Years After,blues rock
Tenacious_D,Tenacious D,"comedy rock, acoustic rock, hard rock, heavy metal"
Tesla_(band),Tesla (band),"hard rock, blues rock, glam metal"
The_Alan_Parsons_Project,The Alan Parsons Project,"progressive rock, art rock, progressive pop, soft rock"
The_All-American_Rejects,The All-American Rejects,"pop-punk, power pop, pop rock, emo pop"
The_Allman_Brothers_Band,The Allman Brothers Band,"southern rock, blues rock, jazz rock, jam band"
The_Animals,The Animals,"r&b, psychedelic rock, rock and roll, blues rock, progressive rock"
The_B-52_s,The B-52s,"new wave, dance-rock, post-punk, art pop"
The_Band,The Band,"roots rock, americana, folk rock, country rock"
The_Bangles,The Bangles,"pop rock, power pop, new wave, paisley underground"
The_Beach_Boys,The Beach Boys,"rock, pop, surf, psychedelia"
The_Beatles,The Beatles,"rock, pop, beat, psychedelia"
The_Big_Bopper,The Big Bopper,"rock and roll, rockabilly, country"
The_Black_Crowes,The Black Crowes,"southern rock, blues rock, hard rock, roots rock, jam band"
The_Black_Keys,The Black Keys,"garage rock, blues rock, punk blues, indie rock"
The_Boxtones,The Boxtones,rock
The_Byrds,The Byrds,"rock, pop, folk rock, psychedelia, raga rock, country rock, jangle pop"
The_Cab,The Cab,"alternative rock, pop-punk, pop rock, power pop, emo pop, pop"
The_Cardigans,The Cardigans,"alternative rock, pop rock, indie rock, indie pop"
The_Cars,The Cars,"new wave, power pop, pop rock, synth-rock"
The_Clash,The Clash,"punk rock, new wave, post-punk, reggae, experimental rock"
The_Cranberries,The Cranberries,"alternative rock, indie rock, pop rock, jangle pop, post-punk, dream pop"
The_Cult,The Cult,"hard rock, gothic rock, alternative rock, heavy metal, post-punk"
The_Cure,The Cure,"gothic rock, post-punk, alternative rock, new wave"
The_Dave_Clark_Five,The Dave Clark Five,"rock and roll, beat, pop"
The_Doobie_Brothers,The Doobie Brothers,"rock, soft rock, pop, blue-eyed, soul"
The_Doors,The Doors,"psychedelic rockdebolt, baugess, 2011, blues rockwallace, 2010, acid rockeinarson, 2001"
The_Everly_Brothers,The Everly Brothers,"rock and roll, rockabilly, country rock, country"
The_Fixx,The Fixx,"new wave, pop rock, art rock, dance-rock"
The_Flaming_Lips,The Flaming Lips,"neo-psychedelia, experimental rock, alternative rock, indie rock, psychedelic rock"
The_Four_Seasons_(band),The Four Seasons (band),"pop rock, pop, soul, doo-wop, soul<ref>the following sources cite the four seasons as either white soul, blue-eyed soul, pop-soul, or northern soul:, encyclopedia, publishing, the blue eyed soul of frankie valli & the four seasons"
The_Fray,The Fray,"alternative rock, pop rock, soft rock, christian rock"
The_Go-Go_s,The Go-Go's,"new wave, pop rock, power pop, post-punk, punk rock"
The_Guess_Who,The Guess Who,"hard rock, psychedelic rock, blues rock, garage rock"
The_Hives,The Hives,"garage rock revival, garage punk"
The_Hollies,The Hollies,"rock, pop"
The_J._Geils_Band,The J. Geils Band,"rock, blues rock, new wave"
The_Jam,The Jam,"mod revival, new wave, punk rock, power pop"
The_Jesus_and_Mary_Chain,The Jesus and Mary Chain,"noise pop, alternative rock, indie rock, post-punk"
The_Killers,The Killers,"alternative rock, pop rock, post-punk revival, new wave, heartland rock"
The_Kinks,The Kinks,"rock, pop"
The_Lovin__Spoonful,The Lovin' Spoonful,"folk rock, pop, rock"
The_Lumineers,The Lumineers,"indie folk, folk rock, americana"
The_Mamas_&_the_Papas,The Mamas & the Papas,"folk rock, sunshine pop"
The_Marshall_Tucker_Band,The Marshall Tucker Band,"southern rock, country rock, progressive country, blues rock, jazz rock"
The_Monkees,The Monkees,"pop rock, rock, bubblegum, psychedelia"
The_Moody_Blues,The Moody Blues,"progressive rock, art rock, psychedelic rock, pop rock"
The_Mothers_of_Invention,The Mothers of Invention,"jazz rock, experimental rock, progressive rock, comedy rock, avant-garde, doo-wop, art rock, blues rock"
The_Offspring,The Offspring,"punk rock, skate punk, pop-punk, alternative rock"
The_Outfield,The Outfield,"pop rock, new wave"
The_Police,The Police,"new wave, reggae rock, pop rock"
The_Presidents_of_the_United_States_of_America_(band),The Presidents of the United States of America (band),"alternative rock, pop-punk, post-grunge"
The_Pretenders,The Pretenders,"rock, pop rock, new wave, alternative rock"
The_Pretty_Reckless,The Pretty Reckless,"hard rock, alternative rock, post-grunge, blues rock"
The_Rolling_Stones,The Rolling Stones,"rock, pop, blues"
The_Script,The Script,"pop rock, soft rock, indie rock"
The_Smashing_Pumpkins,The Smashing Pumpkins,alternative rock
The_Smiths,The Smiths,"indie pop, indie rock, jangle pop, alternative rock"
The_Stone_Roses,The Stone Roses,"madchester, indie rock, alternative rock, dance-rock, neo-psychedelia"
The_Strokes,The Strokes,"indie rock, garage rock revival, post-punk revival, new wave, synth-pop"
The_Sweet,The Sweet,"glam rock, hard rock, power pop, bubblegum"
The_Tragically_Hip,The Tragically Hip,"alternative rock, roots rock, folk rock"
The_Used,The Used,"emo, screamo, post-hardcore, pop-punk, punk rock, alternative rock"
The_Velvet_Underground,The Velvet Underground,"art rock, proto-punk, experimental rock"
The_Verve,The Verve,"neo-psychedelia, alternative rock, britpop, shoegaze"
The_White_Stripes,The White Stripes,"garage rock, blues rock, alternative rock, punk blues, indie rock"
The_Who,The Who,"rock, hard rock, power pop, proto-punk"
The_Yardbirds,The Yardbirds,"blues rock, psychedelic rock, r&b, blues rock<ref>the following sources refer to the yardbirds as blues rock:, secret history of rock and roll, books.google.com, books?, editions"
The_Zombies,The Zombies,"r&b, rock, beat, baroque pop, psychedelic pop, proto-prog"
Theory_of_a_Deadman,Theory of a Deadman,"post-grunge, hard rock, alternative rock, alternative metal, pop rock"
Thin_Lizzy,Thin Lizzy,"hard rock, blues rock, heavy metal, folk rock"
Third_Eye_Blind,Third Eye Blind,"alternative rock, pop rock, post-grunge, power pop, pop-punk"
Thirty_Seconds_to_Mars,Thirty Seconds to Mars,alternative rock
Thousand_Foot_Krutch,Thousand Foot Krutch,"christian rock, christian metal, heavy metal, hard rock, alternative rock, nu metal, rap metal"
Three_Days_Grace,Three Days Grace,"post-grunge, hard rock, alternative rock, alternative metal, nu metal"
Three_Dog_Night,Three Dog Night,"soft rock, pop rock, roots rock, funk rock"
Tom_Petty,Tom Petty,"rock, heartland rock, roots rock, country rock, southern rock"
Tom_Petty_and_the_Heartbreakers,Tom Petty and the Heartbreakers,"rock, heartland rock, southern rock"
Tommy_James_and_the_Shondells,Tommy James and the Shondells,"rock, bubblegum"
Tool_(band),Tool (band),"alternative metal, art rock, post-metal, progressive metal, progressive rock"
Toto_(band),Toto (band),"arena rock, pop rock, hard rock, jazz fusion, progressive rock"
Tracy_Chapman,Tracy Chapman,"folk, blues rock, pop, soul"
Traffic_(band),Traffic (band),"progressive rock, psychedelic rock, jazz rock, folk rock, psychedelic pop"
Train_(band),Train (band),"rock, alternative rock, pop rock, roots rock"
Traveling_Wilburys,Traveling Wilburys,rock
Travis_(band),Travis (band),"post-britpop, pop rock, alternative rock"
Trivium_(band),Trivium (band),"metalcore, thrash metal, heavy metal, progressive metal"
Twenty_One_Pilots,Twenty One Pilots,"alternative rock, electropop, alternative hip-hop, pop rap, indie pop, pop rock"
Twisted_Sister,Twisted Sister,"heavy metal, glam metal, hard rock, shock rock"
U2,U2,"rock, alternative rock, pop rock, post-punk"
UB40,UB40,"reggae, dub"
Uriah_Heep_(band),Uriah Heep (band),"hard rock, progressive rock, heavy metal"
Vampire_Weekend,Vampire Weekend,"indie rock, indie pop, art pop, baroque pop, worldbeat"
Van_Halen,Van Halen,"hard rock, heavy metal, pop rock, arena rock, glam metal"
Van_Morrison,Van Morrison,"blue-eyed soul, celtic, rock, r&b, folk, blues, jazz, country, gospel, christian"
Van_Zant_(band),Van Zant (duo),"southern rock, country, arena rock, ccm"
Velvet_Revolver,Velvet Revolver,"hard rock, alternative metal"
Volbeat,Volbeat,"heavy metal, hard rock, rockabilly, psychobilly, groove metal, rock and roll"
W.A.S.P._(band),W.A.S.P. (band),"heavy metal, shock rock"
Warrant_(American_band),Warrant (American band),"glam metal, hard rock, heavy metal"
Weezer,Weezer,"alternative rock, power pop, pop rock, geek rock, pop-punk, emo"
White_Zombie_(band),White Zombie (band),"groove metal, stoner rock, dance rock, industrial metal, alternative metal, noise rock"
Whitesnake,Whitesnake,"hard rock, blues rock, glam metal"
X_(American_band),X (American band),"punk rock, alternative rock"
X_Ambassadors,X Ambassadors,"alternative rock, indie rock, indie pop, pop rock, alternative pop"
Yes_(band),Yes (band),"progressive rock, art rock, symphonic rock, pop rock"
ZZ_Top,ZZ Top,"blues rock, hard rock, boogie rock, southern rock"
